city,country,lat,lon,year,month,t2m,precip
Tandil,AR,-37.32,-59.13,2014,7,6.7,3.48
Tandil,AR,-37.32,-59.13,2014,8,8.86,3.68
Tandil,AR,-37.32,-59.13,2014,9,10.97,3.16
Tandil,AR,-37.32,-59.13,2014,10,14.16,3.26
Tandil,AR,-37.32,-59.13,2014,11,15.81,5.01
Tandil,AR,-37.32,-59.13,2014,12,19.5,2.52
Tandil,AR,-37.32,-59.13,2014,13,13.55,3.57
Tandil,AR,-37.32,-59.13,2015,1,19.78,3.09
Tandil,AR,-37.32,-59.13,2015,2,20.25,2.79
Tandil,AR,-37.32,-59.13,2015,3,19.66,0.61
Tandil,AR,-37.32,-59.13,2015,4,14.92,5.16
Tandil,AR,-37.32,-59.13,2015,5,12.08,1.81
Tandil,AR,-37.32,-59.13,2015,6,7.19,1.11
